id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
253,No,Singapore,Singapore,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Yee Ming Lee,,,,,,,National University of Singapore,,,,,,,,,,,,,"Advanced Pharmacy Practice Experiential in Pharmacogenomics (National University of Singapore, Singapore) - Preceptor who trains visiting pharmacists or PharmD students in pharmacogenomics implementation, providing pharmacogenomics consults and conducting pharmacogenomics research","Singapore, Singapore",1.2894365,103.8499802
254,No,Singapore,Singapore,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,,,,,,,,National University of Singapore,,,,,,,,,,,,,Affiliation Agreement with National University of Singapore,"Singapore, Singapore",1.2894365,103.8499802
255,No,Slovakia,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,,,,,,,,Slovakia - BIODRUG s.r.o.,,,,,,,,,,,,,Affiliation Agreement with Slovakia - BIODRUG s.r.o.,Slovakia,48.70870209,19.4877492
256,No,Slovakia,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Bratislava, Slovakia (Europe) Start Date: 03/27/2021 - End Date: 05/08/2021",Slovakia,48.70870209,19.4877492
257,No,South Africa,Johannesburg,Research,Colorado School of Public Health,Center For Global Health,May Chu,,,,,,,National Institute for Communicable Diseases,,,,,,,,,,,,,"African Serosurveillance Project on Endemic and New Infectious Diseases (ASPEN-ID): Working with BMGF on realizing a global serosurveillance scheme for determining prevalence of antibodies for insight into vaccine protection, diagnostic testing and research. Pilot project underway in Kenya (Wellcome-KEMRI), Malawi (Wellcome-Blantyre), South Africa (NICD) and Sierra Leone (Mercy Hospital).","Johannesburg, South Africa",-26.201452,28.045488
258,No,South Africa,,Service/Clinical,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",South Africa,-28.99718229,25.08504994
259,No,South Africa,Western Cape,Research,School of Medicine,Emergency Med,"Nee-Kofi Mould-Millman, MD PhD MSCS (PI)",,,,,,,"Stellenbosch University, University of Cape Town, Western Cape Government Department of Health, Denver Health, and the U.S. Department of Defense",,,,,,,,,,,,,"The C3 Network seeks to fill gaps in early trauma resuscitation through observational and interventional studies. We lead a research network comprised of 12 ambulance bases, hospitals, and pathology labs in the Western Cape of South Africa. This region has amongst the highest incidence and mortality from trauma in the world. We are funded by 6 U.S. federal government grants. The network enrolls about 5000 patients per year. Key focus areas include hemorrhage and shock therapeutics, traumatic brain injury, complex wounds and infections. Partner organizations include Stellenbosch University, University of Cape Town, Western Cape Government Department of Health, Denver Health, and the U.S. Department of Defense.","Western Cape, South Africa",-33.0586804,20.66964349
260,No,South Africa,Western Cape,Research,School of Medicine,Emergency Med,Adane Wogu,,,,,,,Stellenbosch University,,,,,,,,,,,,,"C3 Global Trauma Network: Cape-Colorado-Combat -- The C3 Global Trauma Network conducts research predominantly in international settings, through clinical trial design, implementation science, and patient-level outcome research to answer questions regarding optimal trauma care.","Western Cape, South Africa",-33.0586804,20.66964349
261,No,South Africa,Stellenbosch,Education,School of Medicine,Emergency Med,David Richards,,,,,,,Stellenbosch University,,,,,,,,,,,,,Medical student clinical and research work in partnership with Stellenbosch University Emergency Medicine since 2006.,"Stellenbosch, South Africa",-33.9353228,18.8553772
262,No,South Africa,Stellenbosch,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Stellenbosch, South Africa (Africa) Start Date: 07/20/2023 - End Date: 09/04/2023","Stellenbosch, South Africa",-33.9353228,18.8553772
263,No,South Africa,Cape Town,Education,School of Medicine,,,,,,,,,,,,,,,,,,,,,,"AMC SOM International Elective. Cape Town, South Africa (Africa) Start Date: 07/20/2023 - End Date: 09/04/2023","Cape Town, South Africa",-33.9271093,18.4200603
264,No,South Africa,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",South Africa,-28.99718229,25.08504994
265,No,South Africa,Cape Town,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Michael DiStefano,,,,,,,University of Western Cape,,,,,,,,,,,,,"Two published papers in 2023 on health technology assessment in South Africa (South Africa co-author, Cape )","Cape Town, South Africa",-33.9271093,18.4200603
266,No,South Korea,Seoul,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Severance Hospital - Yonsei University - Seoul,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.","Seoul, South Korea",37.566,126.9784
267,No,South Korea,Seoul,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Severance Hospital - Yonsei University - Seoul,,,,,,,,,,,,,"International Student Travel. Seoul, South Korea (Asia) Start Date: 08/15/2021 - End Date: 09/25/2021","Seoul, South Korea",37.566,126.9784
268,No,South Korea,Seoul,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,South Korea - Dream Pharmacy and Severance HospitalYonsei University College of Medicine,,,,,,,,,,,,,Affiliation Agreement with South Korea - Dream Pharmacy and Severance HospitalYonsei University College of Medicine,"Seoul, South Korea",37.566,126.9784
269,No,Spain,Granada,Education,School of Medicine,,Madiha Abdel-Maksoud,,,,,,,,,,,,,,,,,,,,"International Student Travel. Granada, Spain (Europe) Start Date: 10/09/2023 - End Date: 11/03/2023","Granada, Spain",37.1764835,-3.5979371
270,No,Spain,Madrid,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Farmacia J. Ramon Goya Ramos - 10 year term,,,,,,,,,,,,,Affiliation Agreement with Farmacia J. Ramon Goya Ramos - 10 year term,"Madrid, Spain",40.4166909,-3.7003454
271,No,Sri Lanka,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Jared M. Brown,,,,,,,,,,,,,,,,,,,,Working with investigators in Sri Lanka on chronic kidney disease,Sri Lanka,7.617678409,80.69863242
272,No,Sudan,Khartoum,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,"Jodie Malhotra, formerly Kari Franson",,,,,,,University of Kartoum,,,,,,,,,,,,,"The purpose of the agreement will be to expand scholarly ties, facilitate academic cooperation, promote mutual understanding, and specifically, establish a mutually beneficial elective student exchange program between the Parties.","Khartoum, Sudan",15.55177,32.53241
273,No,Sweden,Malmo,Research,Colorado School of Public Health,,Norris (PI: Marian Rewers),,,,,,,"NIH, JDRF, Helmsley Charitable Trust, ADA (and of course the Universities at each of the sites).",,,,,,,,,,,,,"Multi-national Prospective Cohort study for the development of islet autoimmunity and type 1 diabetes in at-risk children. Sites in Finland, Sweden, Germany and the US.","Malmo, Sweden",55.6033166,13.0013362
274,No,Switzerland,Bern,Education,College of Nursing,,Kelly Stamp,,,,,,,Bern University of Applied Sciences (BUAS),,,,,,,,,,,,,"I consulted with the Bern University of Applied Sciences, School of Nursing to start the first adult-gerontology nurse practitioner primary care (AGNP-PC) program in Switzerland in 2019 (when I was with my prior employer). Since moving to CU, I return to Bern to complete evaluations of the program every couple of years. Other ways we collaborate is through student exchanges, faculty collaborations on education programs and presenting/publishing papers on our collaboration. Our plan is to develop more collaborative programs for graduate and doctoral students in the future.","Bern, Switzerland",46.94899859,7.437170775
275,No,Switzerland,Geneva,Education,Colorado School of Public Health,,"Susan Niermeyer, MD, MPH",,,,,,,World Health Organization,,,,,,,,,,,,,"Technical expert with the Maternal, Child Adolescent (MCA) division at WHO Geneva for development and field testing of Essential Newborn Care Course, 2nd edition educational materials.","Geneva, Switzerland",46.21227094,6.126642752
276,No,Switzerland,Basil,Education,School of Medicine,,Madiha Abdel-Maksoud,,,,,,,,,,,,,,,,,,,,"AMC SOM International Elective. Basel, Switzerland (Europe) Start Date: 03/27/2023 - End Date: 05/20/2023","Basil, Switzerland",47.55695923,7.593086695
277,No,Switzerland,Geneva,Research,School of Medicine,,Stephen Aichele (CSU),,,,,,,University of Geneva,,,,,,,,,,,,,"Unfunded collaboration. PI @University of Geneva, CH","Geneva, Switzerland",46.21227094,6.126642752
278,No,Switzerland,Geneva,Education,School of Medicine,GME,"Complex Family Planning - 
 
 Aaron Lazorwitz (former Program Director at time of travel)",,,,,,,World Health Organization,,,,,,,,,,,,,"International Student Travel. Geneva, Switzerland (Europe) Start Date: 11/07/2022 - End Date: 11/18/2022","Geneva, Switzerland",46.21227094,6.126642752
279,No,Switzerland,Geneva,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"World Health Organization, Geneva, Switerland",,,,,,,,,,,,,Policy Brief - Retinoblastoma,"Geneva, Switzerland",46.21227094,6.126642752
280,No,Switzerland,Geneva,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"World Health Organization, Geneva, Switerland",,,,,,,,,,,,,Policy Brief - Hodgkin lymphoma,"Geneva, Switzerland",46.21227094,6.126642752
281,No,Switzerland,Geneva,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"World Health Organization, Geneva, Switerland",,,,,,,,,,,,,Policy Brief - Wilms,"Geneva, Switzerland",46.21227094,6.126642752
282,No,Switzerland,Geneva,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"World Health Organization, Geneva, Switerland",,,,,,,,,,,,,Policy Brief - Acute lymphblastic leukemia,"Geneva, Switzerland",46.21227094,6.126642752
283,No,Switzerland,Geneva,Service/Clinical,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,"WHO, International Society of Pediatric Oncology (SIOP), SIOP-E (SIOP Europe)",,,,,,,,,,,,,Designing and writing WHO Chidhood Cancer CureALL Framework: for the Global Initiative for Childhood cancer (GICC),"Geneva, Switzerland",46.21227094,6.126642752
284,No,Taiwan,Taipei,Research,College of Nursing,,"Christina Sun, PhD",,,,,,,National Taiwan University,,,,,,,,,,,,,Conduct interviews with LGBT adults that utilize their photographs to understand continued health disparities. Partnering institutions = National Taiwan University and University of Botswana; Locations = Taiwan and Botswana,"Taipei, Taiwan",25.0384125,121.5637046
285,No,Taiwan,Taipei,Education,Colorado School of Public Health,Community and Behavioral Hlt,Students: Keng-Ling Lay and Pei-Jung Wang; Karen Caplovitz Barrett (CSU),,,,,,,National Taiwan University and Asia University,,,,,,,,,,,,,"Young children's motivation, self-control, and participation in daily activities -- Fullbright scholarship to Keng-Ling Lay and funding from Taiwan to Keng-Ling Lay and to Pei-Jung Wang/ Keng-Ling Lay is at National Taiwan University; Pei-Jung Wang is at Asia University","Taipei, Taiwan",25.0384125,121.5637046
286,No,Taiwan,Taipei,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Jodie Malhotra,,,,,,,Taipei Medical University,,,,,,,,,,,,,"The purpose of the agreement will be to expand scholarly ties, facilitate academic cooperation, promote mutual understanding, and specifically, establish a mutually beneficial elective student exchange program between the Parties.","Taipei, Taiwan",25.0384125,121.5637046
287,No,Taiwan,Taipei,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Yee Ming Lee,,,,,,,Taipei Medical University,,,,,,,,,,,,,"Advanced Pharmacy Practice Experiential in Pharmacogenomics (Taipei Medical University, Taiwan) -Preceptor who trains visiting pharmacists or PharmD students in pharmacogenomics implementation, providing pharmacogenomics consults and conducting pharmacogenomics research","Taipei, Taiwan",25.0384125,121.5637046
288,No,Tanzania,Dar Es Salaam,Research,Colorado School of Public Health,Epidemiology,Maggie Clark (CSU),,,,,,,University of Dar es Salaam,,,,,,,,,,,,,"The United Nations Industrial Development Office (UNIDO) and Global Environment Facility (GEF) supported a project to promote bioethanol as an alternative cooking fuel in Tanzania. Following the invitation of UNIDO officials and their consultants with Project Gaia, the Clean Cooking Implementation Science Network (ISN) proposes to use the tools of implementation science and impact evaluation to evaluate this project and to assess impacts on household economics, time use, and fuel consumption in targeted wards in Dar es Salaam. In a subset of households, the ISN also proposes a more intensive sub-study of household air pollution exposure, stove use, and particulate matter chemical composition. The proposed activites will supply the first documented impact evaluation of a large-scale ethanol stove-and-fuel program in relation to environmental, economic, and health-related indicators. These activities will also provide documentation of this unique program roll-out to inform future ethanol scale-up efforts around the world. Partners also include the University of Dar es Salaam, Duke University, and Gettysburg College.","Dar Es Salaam, Tanzania",-6.8149233,39.288409
289,No,Tanzania,Ifakara,Education,School of Medicine,,Amy Akerman,,,,,,,,,,,,,,,,,,,,"International Student Travel. Ifakara, Tanzania (Africa) Start Date: 08/31/2022 - End Date: 10/08/2022","Ifakara, Tanzania",-8.1416407,36.6781798
290,No,Tanzania,,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities",Tanzania,-6.438400133,34.99532271
291,No,Thailand,Salaya,Education,Colorado School of Public Health,Center For Global Health,Mary Moua (Most likely set up for Eric Simoes),,,,,,,Mahidol University,,,,,,,,,,,,,"MOU between Faculty of Tropical Medicine, Mahidol University and Regents of UC.","Salaya, Thailand",13.802,100.32111
292,No,Thailand,Bangkok,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,Clinical Pharmacy,Michael DiStefano,,,,,,,"The institutions of the collaborators are Kings College London, Radboud University (Nijmegen, Netherlands), and HITAP in Bangkok, Thailand.",,,,,,,,,,,,,Research collaboration with members of Health Technology Assessment International (submitting session proposals for the 2024 HTAi and Priorities in Health conferences). Collaborators are from The Netherlands and Thailand.,"Bangkok, Thailand",13.7539579,100.5022432
293,No,Thailand,,Research,Skaggs School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Sciences,Jared M. Brown,,,,,,,,,,,,,,,,,,,,"Working with multiple countries and clinicians on biopsies and sample collection including El Salvador, Mexico, India and Thailand",Thailand,15.11680279,101.0122392
294,No,Thailand,Sichon,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,Sichon Hospital,,,,,,,,,,,,,Affiliation Agreement with Thailand - Sichon Hospital,"Sichon, Thailand",8.963662523,99.89633701
295,No,Turkey,Adana,Education,School of Dental Medicine,Pediatric Dentistry,"Abdin Hakan Tuncer, DDS",,,,,,,Cukurova University,,,,,,,,,,,,,"Special Care Dentistry training with Cukurova Univ, Adana, Turkey","Adana, Turkey",36.9837199,35.3298202
296,No,Turkey,Gazlantep,Education,School of Dental Medicine,Pediatric Dentistry,"Abdin Hakan Tuncer, DDS",,,,,,,Kalyoncu University,,,,,,,,,,,,,"Developing ccollaboration with Kalyoncu Uinv, Gazlantep, Turkey","Gazlantep, Turkey",37.065842,37.376078
297,No,Turkey,Bagcilar,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Altinbas University School of Pharmacy,,,,,,,,,,,,,"Affiliation agreement with Bagcilar, Istanbul, Turkey. Altinbas University School of Pharmacy","Bagcilar, Turkey",41.034701,28.857672
298,No,Turkey,Istanbul,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,Altinbas University School of Pharmacy,,,,,,,,,,,,,"Affiliation agreement with Bagcilar, Istanbul, Turkey. Altinbas University School of Pharmacy","Istanbul, Turkey",41.0129952,28.9747973
299,No,Uganda,Kampala,Research,Colorado School of Public Health,Epidemiology,Jon Samet,,,,,,,"NIH that supports the GEOHealth Hub, centered in Addis Ababa with Addis Ababa University. Makerere University in Kampala, Uganda, and the University of Nairobi, in Nairobi, Kenya. The funding is a subcontract from Columbia to the SPH and it is housed in the Department of Epidemiology",,,,,,,,,,,,,"GEOHealth Hub for Eastern Africa: NIH-funded regional center for research and training on environmental and occupational health with focus on air pollution and heat stress. Includes Ethiopia, Uganda, and Kenya as main sites with additional training sites","Kampala, Uganda",0.3156879,32.5781139
300,No,Uganda,Kampala,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Kampala, Uganda (Africa) Start Date: 09/02/2023 - End Date: 09/21/2023","Kampala, Uganda",0.3156879,32.5781139
301,No,Uganda,Mbale,Education,Colorado School of Public Health,,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Mbale, Uganda (Africa) Start Date: 07/31/2023 - End Date: 08/25/2023","Mbale, Uganda",1.0775212,34.1789779
302,No,Uganda,Enetebbe,Education,School of Medicine,GME,Anesthesiology - Rachel Kacmar,,,,,,,CURE Children's Hospital of Uganda,,,,,,,,,,,,,"International Student travel. Entebbe, Uganda (Africa) Start Date: 01/02/2023 - End Date: 01/29/2023","Enetebbe, Uganda",0.05621,32.47949
303,No,Uganda,Kampala,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. Kampala, Uganda (Africa) Start Date: 05/01/2022 - End Date: 05/29/2022","Kampala, Uganda",0.3156879,32.5781139
304,No,Uganda,Mbale,Education,School of Medicine,GME,Colby Simmons,,,,,,,,,,,,,,,,,,,,"International Student Travel. Mbale, Uganda (Africa) Start Date: 03/13/2022 - End Date: 04/15/2022","Mbale, Uganda",1.0775212,34.1789779
305,No,Uganda,Mbale,Service/Clinical,School of Medicine,Pediatrics,Lisa Humphrey,,,,,,,"Mbale Regional Referral Hospital, Mbale Clinical Research Institute, Busitema University, CURE Hospital, Joy Hospice, Casa Uganda Foundation, and Pathways Development Initiative to work on collaborative research, educational, community development and healthcare projects",,,,,,,,,,,,,"Place trainees and faculty to rotate or collaborate with Ugandan partners. Facilitate rotations for 15-20 students, resident, fellows and faculty yearly.","Mbale, Uganda",1.0775212,34.1789779
306,No,Uganda,Mbale,Education,School of Medicine,Emergency Med,Emilie J. Calvello Hines,,,,,,,As Needed,,,,,,,,,,,,,"Disaster relief, tied with WHO and African Federation for Emergency Medicine. Https://coloradoglobalem.org. Other major activities: fellowship, robust resident track, attending opportunities","Mbale, Uganda",1.0775212,34.1789779
307,No,Uganda,Mbale,Service/Clinical,School of Medicine,,Allison Wolfe,,,,,,,Outpatient palliative care team at the regional referral hospital in Mbale,,,,,,,,,,,,,"Outpatient palliative care team at the regional referral hospital in Mbale, consisting of social workers, nurses, community village health volunteers. Inpatient/outpatient program serves as a model for other Ugandan public hospitals","Mbale, Uganda",1.0775212,34.1789779
308,No,Uganda,Mbale,Service/Clinical,School of Medicine,,Colby Simmons,,,,,,,CURE Children's Hospital of Uganda and Mbale Regional Referral Hospital,,,,,,,,,,,,,"Provide clinical care and training workshops, developing 2 retrospective research projects, developing a clinical neurophysiology program. Secured equipment to train technologists in Uganda in intraoperative neurophysiology.","Mbale, Uganda",1.0775212,34.1789779
309,No,Ukraine,Kiev,Research,Colorado School of Public Health,Community and Behavioral Hlt,Cherewick (PI: Ron Dahl),,,,,,,University of California Berkeley,,,,,,,,,,,,,Sleep and Savoring intervention for adolescents in Ukraine: Co-design of a sleep and savoring intervention to promote mental wellbeing and reduce risk for mental health disorders among conflict-affected adolescents in Ukraine. Partnered with University of California Berkeley,"Kiev, Ukraine",50.4497495,30.5237178
310,No,Ukraine,Kyiv,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Kyiv, Ukraine",50.4497495,30.5237178
311,No,Ukraine,Lviv,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Lviv, Ukraine",49.839683,24.029717
312,No,Ukraine,Ivano Frankivsk,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Ivano Frankivsk, Ukraine",48.9182817,24.7199702
313,No,Ukraine,Kharkiv,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Kharkiv, Ukraine",49.985946,36.2735399
314,No,Ukraine,Dnipro,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Dnipro, Ukraine",46.4975,32.30861
315,No,Ukraine,Zaporizhzhia,Research,School of Medicine,Emergency Med,"Co-Pis: Adit Ginde, MD MPH; Corey Bills, MD MPH; Ian Stanley PhD, Stacy Trent, MD MSPH",,,,,,,,,,,,,,,,,,,,"While initial funding is pending (DOD) the project focuses on research development in Ukraine with a focus on 3 core elements among civilians affected by war. (1) Infectious Disease: Antimicrobial Resistance Research to Improve Outcomes of Traumatic Wounds (ARROW) focuses on wound infections and related complications (e.g., sepsis, amputation). (2) Psychological Health: Addressing Psychological Health Needs Among Ukrainians During Wartime: Collaborative Approach to Resilience and Empowerment (CARE-Ukraine) focuses on understanding and improving psychological health impacts of war, including PTSD, depression, and suicide. (3) Major Trauma: Facilitating Outcomes Research through Wartime Trauma Registry Development in Ukraine (FORWARD-Ukraine) focuses on developing infrastructure for longitudinal data collection for trauma patients starting on the front lines of eastern Ukraine, through medical evacuation and definitive care in western Ukraine.","Zaporizhzhia, Ukraine",47.8464561,35.1492677
316,No,United Arab Emirates,Dubai,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,UAE - Dubai Pharmacy College for Girls,,,,,,,,,,,,,Affiliation agreements for education rotations,"Dubai, United Arab Emirates",25.2674058,55.2926806
317,No,United Kingdom,Chester,Research,College of Nursing,,"Deborah Kenny, PhD, RN",,,,,,,Westminster Centre for Research and Innovation in Veteransâ€™ Wellbeing at the University of Chester,,,,,,,,,,,,,"Arose from the Mil/Vet expert panel of the Academy. We hold bi-monthly webinars highlighting our research on military populations. The US and UK take turns hosting. Our December webinar will be #20, since we had to pivot and cancel our planned conference that was supposed to take place in September 2020. Itâ€™s a great way to learn what research is going on and potentially finding collaborations.","Chester, United Kingdom",53.19021912,-2.891645238
318,No,United Kingdom,London,Research,Colorado School of Public Health,Epidemiology,"Diguiseppi (Project Lead: Phil Edwards, PhD, LSHTM)",,,,,,,"London School of Hygiene and Tropical Medicine, London, United Kingdom",,,,,,,,,,,,,"Update of systematic review on methods to increase response rates to postal and electronic questionnaires (London School of Hygiene and Tropical Medicine, London, United Kingdom)","London, United Kingdom",51.50740836,-0.127698693
319,No,United Kingdom,Manchester,Research,Colorado School of Public Health,,Stephen Aichele (CSU),,,,,,,University of Manchester,,,,,,,,,,,,,"Lifetime Pollution Exposure and Cognitive Health in Adulthood. CSU internal grant. Co-Is at Uni Manchester, UK","Manchester, United Kingdom",53.47895624,-2.245275766
320,No,United Kingdom,London,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"International Student Travel. London, United Kingdom (Europe) Start Date: 03/01/2024 - End Date: 03/30/2024","London, United Kingdom",51.50740836,-0.127698693
